tieId,tieName,matchId,dateMatch,result,winnerName,winnerCountry,loserName,loserCountry
7636cd60-87b8-4c3f-8240-d58058299040,W-FC-2005-G2-EPA-A-M-LTU-TUN-01,c5c91a55-28e2-44dd-9be5-a79ac84090ac,2005-04-28T00:00:00.000Z,6-0 6-1,Lina Stanciute,LTU,Olfa Dhaoui,TUN
7636cd60-87b8-4c3f-8240-d58058299040,W-FC-2005-G2-EPA-A-M-LTU-TUN-01,f8cecf84-f724-4372-a894-035550570b6c,2005-04-28T00:00:00.000Z,6-0 6-1,Irina Cybina / Lina Stanciute,LTU,Rym Cherni / Olfa Dhaoui,TUN
25750a25-9603-48df-a6e4-e7a00e8b9c98,W-FC-2005-G2-EPA-A-M-ROU-LTU-01,27a132cc-2754-4053-8515-efd25bee93dc,2005-04-29T00:00:00.000Z,4-6 7-5 6-2,Lina Stanciute,LTU,Simona-Iulia Matei,ROU
25750a25-9603-48df-a6e4-e7a00e8b9c98,W-FC-2005-G2-EPA-A-M-ROU-LTU-01,9d0baae5-7384-4e26-9474-82b1c8716e3a,2005-04-29T00:00:00.000Z,3-6 6-1 6-2,Monica Niculescu,ROU,Aurelija Miseviciute,LTU
25750a25-9603-48df-a6e4-e7a00e8b9c98,W-FC-2005-G2-EPA-A-M-ROU-LTU-01,e662c2cd-0a1e-4574-aad4-0ff6b443beb4,2005-04-29T00:00:00.000Z,3-6 7-6(0) 6-1,Gabriela Niculescu / Monica Niculescu,ROU,Lina Stanciute / Aurelija Miseviciute,LTU
6dbaa92c-e7e6-491f-9244-b2d64dc31092,W-FC-2005-G2-EPA-A-M-FIN-TUN-01,5fb12639-cb4e-4f08-80c2-54d016f01f1b,2005-04-29T00:00:00.000Z,6-1 6-1,Emma Laine,FIN,Olfa Dhaoui,TUN
6dbaa92c-e7e6-491f-9244-b2d64dc31092,W-FC-2005-G2-EPA-A-M-FIN-TUN-01,c870c586-223c-4b09-8a4a-f1d01d84ee84,2005-04-29T00:00:00.000Z,6-1 6-1,Essi Laine / Maarit Nieminen,FIN,Olfa Dhaoui / Selima Frioui,TUN
6dbaa92c-e7e6-491f-9244-b2d64dc31092,W-FC-2005-G2-EPA-A-M-FIN-TUN-01,d2b05f7a-0e06-4a65-baf8-1fccd9d616c4,2005-04-29T00:00:00.000Z,6-0 6-0,Piia Suomalainen,FIN,Rym Cherni,TUN
75bdbd1e-06d0-468d-bc16-ee12e27a09cc,W-FC-2005-G2-EPA-B-M-IRL-NOR-01,1fdcf554-d694-4c78-92c8-ce771e533dde,2005-04-27T00:00:00.000Z,3-6 6-4 6-3,Yvonne Doyle,IRL,Ina Sartz,NOR
75bdbd1e-06d0-468d-bc16-ee12e27a09cc,W-FC-2005-G2-EPA-B-M-IRL-NOR-01,2b22d0f0-cc48-4a32-bde1-3b466342f082,2005-04-27T00:00:00.000Z,6-3 6-3,Anne Mall,IRL,Karoline Borgersen,NOR
75bdbd1e-06d0-468d-bc16-ee12e27a09cc,W-FC-2005-G2-EPA-B-M-IRL-NOR-01,53b08f6f-69b9-4ace-ae71-d3d4adfc2880,2005-04-27T00:00:00.000Z,6-1 7-6(3),Anne Mall / Karen Nugent,IRL,Karoline Borgersen / Ina Sartz,NOR
ba586620-e1a5-4238-a751-7bedefc7d7f6,W-FC-2005-G2-EPA-B-M-GEO-LAT-01,3bef51f0-87e5-42c2-a075-34464c273b07,2005-04-27T00:00:00.000Z,6-0 6-4,Tatia Mikadze / Tinatin Kavlashvili,GEO,Irina Kuzmina-Rimsa / Alise Vaidere,LAT
ba586620-e1a5-4238-a751-7bedefc7d7f6,W-FC-2005-G2-EPA-B-M-GEO-LAT-01,7c93f662-f428-43f9-ab21-f19438d1b171,2005-04-27T00:00:00.000Z,6-2 6-1,Tinatin Kavlashvili,GEO,Anastasija Sevastova,LAT
ba586620-e1a5-4238-a751-7bedefc7d7f6,W-FC-2005-G2-EPA-B-M-GEO-LAT-01,e7205f64-151f-49ec-b903-1263f6e9d7cb,2005-04-27T00:00:00.000Z,6-2 6-1,Margalita Chakhnashvili-Ranzinger,GEO,Irina Kuzmina-Rimsa,LAT
e3e13cc1-eef4-4869-b290-e264e9d83745,W-FC-2005-G2-EPA-B-M-IRL-GEO-01,20cc8809-9f1f-4757-b495-9b23ffa0422e,2005-04-28T00:00:00.000Z,6-4 6-1,Margalita Chakhnashvili-Ranzinger,GEO,Anne Mall,IRL
e3e13cc1-eef4-4869-b290-e264e9d83745,W-FC-2005-G2-EPA-B-M-IRL-GEO-01,55427ca2-6c90-4deb-b5e5-b7599267d924,2005-04-28T00:00:00.000Z,6-4 6-1,Tinatin Kavlashvili,GEO,Yvonne Doyle,IRL
e3e13cc1-eef4-4869-b290-e264e9d83745,W-FC-2005-G2-EPA-B-M-IRL-GEO-01,d43907f0-d8be-4f94-9f97-18c18bf2924f,2005-04-28T00:00:00.000Z,6-3 6-4,Tatia Mikadze / Salome Chachkhunashvili,GEO,Karen Nugent / Rachael Dillon,IRL
480deb87-4668-40e1-a583-ed1993b845f7,W-FC-2005-G2-EPA-B-M-LAT-NOR-01,c983ec03-6a8b-4a1f-a17a-e6645af8e5aa,2005-04-28T00:00:00.000Z,6-2 6-2,Alise Vaidere / Ieva Irbe,LAT,Karoline Steiro / Idunn Hertzberg,NOR
480deb87-4668-40e1-a583-ed1993b845f7,W-FC-2005-G2-EPA-B-M-LAT-NOR-01,defe70cd-6d0a-4f3d-809d-b4fbd697b6bb,2005-04-28T00:00:00.000Z,6-1 6-3,Alise Vaidere,LAT,Ina Sartz,NOR
